Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes       
"101","PLS.AX","Plsgroup Fpo [pls]",,"ASX","Aus Stocks","AUD","5000","2.5","0","2024-12-03 GMT+1100","15:22:00",,"Buy",,,
"102","PLS.AX","Plsgroup Fpo [pls]",,"ASX","Aus Stocks","AUD","10000","1.43","0","2025-04-03 GMT+1100","15:52:00",,"Buy",,,
       
"103","CSL.AX","Csl Fpo [csl]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"104","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"105","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","500","56.75","0","2024-02-12 GMT+1100","14:38:00",,"Buy",,,
"106","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","200","70","0","2024-06-05 GMT+1000","15:00:00",,"Buy",,,
"107","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","3","54.76","0","2024-06-24 GMT+1000","12:14:00",,"Buy",,,
"108","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","400","55","0","2024-06-28 GMT+1000","23:14:00",,"Buy",,,
"109","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","97","54.76","0","2024-07-22 GMT+1000","11:56:00",,"Buy",,,
"110","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","200","45.75","0","2024-08-15 GMT+1000","23:35:00",,"Buy",,,
"111","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","300","39","0","2024-09-03 GMT+1000","10:18:00",,"Buy",,,
"112","MIN.AX","Mineralres Fpo [min]",,"ASX","Aus Stocks","AUD","400","26.95","0","2025-02-21 GMT+1100","15:08:00",,"Buy",,,
       
"113","DDR.AX","Dickerdata Fpo [ddr]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"114","KAR.AX","Karoon Fpo [kar]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"115","MAQ.XA","Maq Tech Fpo [maq]",,"CXA","Aus Stocks","AUD",,,,,,,,,,
       
"116","PWH.AX","Pwr Hlding Fpo [pwh]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"117","KTG.AX","Ktg.ax,0p0000x4qq,0",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"118","IPH.AX","Iphlimited Fpo [iph]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"119","CAR.AX","Car Group Fpo [car]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"120","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD",,,,,,,,,,
"121","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","200","35.2","0","2020-03-19 GMT+1100","18:00:00","0","Buy",,,
"122","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","200","37","0","2020-03-20 GMT+1100","18:00:00","0","Buy",,,
"123","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","134","35.2","0","2020-03-23 GMT+1100","18:00:00","0","Buy",,,
"124","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","200","39","0","2020-03-24 GMT+1100","18:00:00","0","Buy",,,
"125","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","200","38.8","0","2020-03-31 GMT+1100","18:00:00","0","Buy",,,
"126","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","200","51.5","0","2020-06-28 GMT+1000","17:00:00","0","Buy",,,
"127","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","200","50.58","0","2020-11-13 GMT+1100","13:20:00",,"Buy",,,
"128","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","1000","42.85","0","2024-01-25 GMT+1100","12:49:00",,"Buy",,,
"129","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","734","80.7","0","2025-06-25 GMT+1000","15:11:00",,"Sell","FIFO",,
"130","GDX.AX","Ve Gdx Etf Units [gdx]",,"ASX","Aus Sold","AUD","1600","80.3","0","2025-06-26 GMT+1000","13:15:00",,"Sell","FIFO",,
       
"131","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD",,,,,,,,,,
"132","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","460","83.77","0","2020-01-16 GMT+1100","00:00:00","0","Buy",,,
"133","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","150","70","0","2020-03-09 GMT+1100","00:00:00","0","Buy",,,
"134","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","230","61.32","0","2020-03-18 GMT+1100","18:00:00","0","Buy",,,
"135","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","160","99.936","0","2021-08-26 GMT+1000","08:50:00",,"Buy",,,
"136","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","200","120.35","0","2024-04-02 GMT+1100","11:51:00",,"Sell","FIFO",,
"137","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","300","119.15","0","2024-04-10 GMT+1000","11:52:00",,"Sell","FIFO",,
"138","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","200","121.3","0","2024-05-16 GMT+1000","10:51:00",,"Sell","FIFO",,
"139","CBA.AX","Cwlth Bank Fpo [cba]",,"ASX","Aus Sold","AUD","300","130","0","2024-07-11 GMT+1000","11:16:00",,"Sell","FIFO",,
       
"140","NCK.AX","Nick Scali Fpo [nck]",,"ASX","Aus Sold","AUD",,,,,,,,,,
"141","NCK.AX","Nick Scali Fpo [nck]",,"ASX","Aus Sold","AUD","1000","10.84","0","2023-10-11 GMT+1100","09:11:00",,"Buy",,,
"142","NCK.AX","Nick Scali Fpo [nck]",,"ASX","Aus Sold","AUD","2000","10.85","0","2023-11-24 GMT+1100","10:44:00",,"Buy",,,
"143","NCK.AX","Nick Scali Fpo [nck]",,"ASX","Aus Sold","AUD","223","13.25","0","2024-05-30 GMT+1000","15:10:00",,"Buy",,,"SPP shares"
"144","NCK.AX","Nick Scali Fpo [nck]",,"ASX","Aus Sold","AUD","1000","18.45","0","2025-02-07 GMT+1100","10:51:00",,"Sell","FIFO",,
"145","NCK.AX","Nick Scali Fpo [nck]",,"ASX","Aus Sold","AUD","2223","18.6","0","2025-02-07 GMT+1100","13:25:00",,"Sell","FIFO",,
       
"146","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD",,,,,,,,,,
"147","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","800","11.2","0","2020-03-16 GMT+1100","18:00:00","0","Buy",,,
"148","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","1200","8.37","0","2020-03-18 GMT+1100","18:00:00","0","Buy",,,
"149","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","1000","10.2","0","2020-06-28 GMT+1000","17:00:00","0","Buy",,,
"150","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","1000","11.75","0","2021-02-16 GMT+1100","13:59:00",,"Buy",,,
"151","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","400","11.4","0","2021-02-20 GMT+1100","13:16:00",,"Buy",,,
"152","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","400","12.99","0","2021-10-07 GMT+1100","07:54:00",,"Buy",,,
"153","SLF.AX","Spdr Prp Etf Units [slf]",,"ASX","Aus Sold","AUD","200","12.99","0","2022-01-26 GMT+1100","10:23:00",,"Buy",,,
